gene,logFC,logCPM,P.Value,adj.P.Val
Xrn1,0.270573868,5.759089976,0.010878578,0.241319803
4732463B04Rik,0.270617707,-0.426120246,0.576156149,1
Alkbh4,0.270679031,2.967057198,0.096548549,0.685567537
Gm13194,0.270748365,-1.440071154,0.732589371,1
Ly86,0.270772577,4.443456721,0.084016223,0.651916073
2610008E11Rik,0.270916164,4.503922232,0.026202811,0.388052513
Jaml,0.2710404,-1.741855257,0.788517361,1
Rpl10a,0.27108606,6.458114758,0.007918776,0.202203638
Rpl31,0.271111428,7.020476176,0.02097186,0.344718613
mt-Nd3,0.271245524,4.889860465,0.020486863,0.34137878
Kif23,0.271250858,-0.568996603,0.595031871,1
En2,0.271347319,0.803453218,0.461103414,1
Rrad,0.271384951,-0.297192934,0.560807732,1
Gm1070,0.271435746,-2.773495135,1,1
Mnat1,0.271570254,3.485601433,0.067122645,0.602598419
Gm5278,0.2715705,-2.773447138,1,1
Mrpl1,0.271578203,3.726635595,0.075235124,0.627914214
Pars2,0.271756378,2.825825694,0.152965801,0.804726123
Hcrt,0.271765355,-2.772814646,1,1
Pqlc3,0.271882518,1.857216337,0.277048336,0.974529227
Gm14260,-1.274009843,-3.296893908,0.670372609,1
Cacnb2,0.271969316,6.171090519,0.01370539,0.274713336
Gm11625,1.885956193,-3.59637637,1,1
Col14a1,0.272108979,0.837698552,0.38369614,1
S100a5,0.272181867,-2.772847974,1,1
Tbx10,1.885956193,-3.59637637,1,1
Sapcd2,0.272235456,0.95647177,0.336985542,1
Gm5878,0.272248092,-2.773480456,1,1
Gm5513,0.272330422,-2.772766634,1,1
Gm19815,0.272330422,-2.772766634,1,1
Gm4787,0.272352934,-0.298180626,0.569770187,1
Ddx28,0.272406561,3.694167263,0.056507995,0.562577121
Gm7390,0.272408095,-2.773500835,1,1
Gm8206,0.272507073,-1.187673034,0.729374655,1
Gtpbp10,0.272679077,3.214547676,0.093141648,0.676735386
Akr1b10,0.272773664,3.978109761,0.045359834,0.502725843
Gm10785,0.272803255,0.769205902,0.355455039,1
Prkcz2,0.272874483,-0.400703743,0.544240438,1
Hyls1,0.272891052,3.000752575,0.105665816,0.70946574
Cops9,0.272957965,5.135989104,0.030571017,0.416279685
Pyroxd1,0.273019451,2.034529238,0.176493441,0.848790009
Gm14382,1.885956193,-3.59637637,1,1
Irf5,0.273374598,2.539064248,0.128706041,0.763472133
Gm17705,0.273452823,-0.790397421,0.649632382,1
Gpr22,0.27346391,6.648254668,0.003773281,0.129519167
Mtx2,0.273484861,4.473844918,0.027873051,0.400334091
Slc9a5,0.273549127,3.951176237,0.067490191,0.604272834
Pram1,0.273765469,-1.43872969,0.71867767,1
Zfp202,0.273881684,2.23084011,0.184292534,0.862735857
Cct8l1,0.273891845,-1.438717531,0.711791666,1
Firre,0.273903639,5.964347213,0.0048179,0.150414651
B3gnt8,0.273980835,0.511131622,0.415063783,1
Gm6254,0.274117839,-2.773007367,1,1
Smim4,0.274166952,2.603457377,0.129196619,0.76384274
6430573F11Rik,0.274262544,3.435148518,0.09410612,0.679711647
Gm27010,0.274299763,-0.297211457,0.460269748,1
Gm26532,0.27433247,0.251409053,0.462339242,1
Phpt1,0.274429088,2.835224817,0.102815342,0.702468276
Pi4k2b,0.274469107,1.204962876,0.290553926,0.982492329
Zfp454,0.274474364,2.129419297,0.184635612,0.863833164
Anxa8,0.274488075,-0.569133696,0.577238349,1
A630001G21Rik,0.274549993,-0.177645452,0.430806506,1
Dpm1,0.274615341,3.46254821,0.062506829,0.589899458
Lca5l,0.274668445,1.657409776,0.233625888,0.938123325
Tgif2,0.274719267,1.204905997,0.329230719,1
Cnnm4,0.274753317,3.920654756,0.06512412,0.597471911
Scn11a,0.274968162,-2.773242372,1,1
1110038B12Rik,0.274986271,3.027606672,0.154404616,0.807475522
Arpc2,0.274990337,7.913774934,0.00379387,0.129868903
Gm6222,0.698876623,-2.974768549,0.762133132,1
Stat5a,0.275243558,1.604920711,0.231713749,0.935036677
Gm26788,0.275257849,-1.43774722,0.731515721,1
Ccdc74a,0.275265279,4.960756478,0.025977935,0.386615303
Plcg2,0.275298397,3.059575001,0.092854271,0.67598108
Thnsl2,0.275326865,1.737930589,0.211039104,0.901110873
Gm42742,0.275344185,0.759416442,0.353850999,1
Rgs9,0.275434736,3.634623241,0.099408496,0.693713619
Cryba4,0.275617368,-0.452625824,0.533049366,1
Abcc8,0.275794528,5.097766446,0.014733619,0.286668404
Gm13436,0.275906607,0.698744408,0.365565022,1
Thap6,0.275923277,1.452432252,0.260276212,0.959876926
Psma1,0.276115041,5.639113907,0.006488123,0.180027225
1110059E24Rik,0.27614001,3.854156498,0.058101085,0.570530857
Tarbp1,0.276321472,3.575597684,0.0573412,0.566955127
Ddc,0.276448884,2.735284324,0.146947121,0.796317069
Cdk5rap1,0.276543914,2.866485357,0.111866871,0.72482925
Atp1a4,0.276727811,-2.210210746,0.858363434,1
Rps15a,0.277005288,6.977419715,0.005686524,0.166439943
Cela1,0.277059302,0.165253291,0.495866208,1
Prap1,0.27709376,-1.805306483,0.801855386,1
P2ry1,0.277128535,1.55860937,0.269164219,0.970103611
Fam13a,0.277209458,4.55971884,0.018472537,0.320740777
Tefm,0.277291446,1.956086636,0.174452998,0.845851549
Gm11750,0.277323353,-2.772792894,1,1
Rbp1,0.277380339,4.415260504,0.135140054,0.78007414
Dennd1c,0.277384053,0.917542682,0.35543674,1
Gm10710,0.277532488,0.3983037,0.431912304,1
6530403H02Rik,0.277551581,0.770697117,0.361255359,1
Gpx4,0.27757565,7.768824778,0.011966453,0.254077116
Lppos,0.277694933,1.780980832,0.223711738,0.922977991
Dhdh,0.27782543,3.215601014,0.08748032,0.66403076
Irak1bp1,0.27786033,4.391648413,0.023766722,0.369659524
Mir17hg,0.693198924,-1.297371479,0.316774005,0.993843158
Ubxn11,0.278055338,3.231315616,0.092649592,0.675032624
Mamstr,0.278309617,1.249287621,0.322841784,0.99815463
Stxbp2,0.278319068,5.033106097,0.011578946,0.249238184
Gm17195,0.278415335,-1.187754892,0.671622799,1
Zfp949,0.278509262,3.602589896,0.055322829,0.55773608
Pigx,0.278811637,3.546006798,0.054511914,0.554282518
Atxn7,0.278910809,4.986547297,0.016002151,0.298212298
Gemin2,0.279038933,2.169437503,0.164174941,0.83072016
Gm27016,1.885956193,-3.59637637,1,1
Gm26576,0.279123912,-2.209575804,0.85355411,1
Zap70,0.279139465,2.336332424,0.186996341,0.868522619
Mphosph9,0.279459381,4.814184676,0.017767448,0.314287188
Sirt5,0.27949755,3.099113602,0.105861854,0.70946574
Rpl37a,0.279578433,6.528717843,0.014091367,0.279149283
Prcd,0.279615066,1.680981111,0.322611536,0.998009548
Cd80,0.279674363,-1.232257221,0.730012072,1
Gm14963,-0.696557878,-0.148401357,0.065124877,0.597471911
Nr1d2,0.27974359,6.501240344,0.004840154,0.150414651
Platr6,0.27980039,-2.209022795,0.869442222,1
Orai2,0.279978987,7.401976023,0.008226097,0.205649952
Olfr524,0.280072209,-2.209007749,0.86568392,1
1700001O22Rik,0.280177475,2.019502167,0.175290392,0.847476313
Zfp853,0.28029342,2.742434017,0.116534291,0.730124673
Pdik1l,0.280342521,3.8282383,0.050937819,0.53492571
CH25-11N3.2,0.280435056,-1.805214907,0.776050204,1
Gimap9,0.280456873,-1.230452439,0.708753506,1
Ddx59,0.280534056,2.693024482,0.113524616,0.729189442
Mrpl46,0.28056532,3.813312404,0.048885797,0.522036644
Gnl2,0.28059507,5.339819688,0.006392584,0.178177559
Kif20b,0.280808326,-0.787826904,0.600439884,1
Xpc,0.280909539,4.086462224,0.030982108,0.418735341
Dpm3,0.280990019,3.327667648,0.079381547,0.639054838
Lrrc8c,0.281151763,5.156487195,0.02126055,0.347366241
B3galnt2,0.281178189,3.61440789,0.046488076,0.510816021
Pcgf2,0.281263859,4.63935981,0.027907155,0.400334091
Gm4613,0.281280093,-1.805858758,0.776283996,1
Sh3bp5,0.281502042,6.44017787,0.025529604,0.383084799
Gm42659,0.281550075,-0.62412495,0.568319867,1
Serpinb6c,0.28180802,-2.208988708,0.859030702,1
AU015336,1.885956193,-3.59637637,1,1
Rps16-ps2,0.281898809,3.431506179,0.099717613,0.694108094
Il20ra,0.281957204,-2.209790708,0.865646491,1
Gm17251,0.281961211,0.445265794,0.357398735,1
Gm17276,0.281971167,0.036965864,0.482043101,1
Gnb1l,0.281999934,1.569129941,0.218544263,0.913716784
Gm17055,0.282074625,0.113577436,0.39165487,1
Acta2,0.282148261,4.23803308,0.329085552,1
C1qa,0.282334172,6.826102771,0.005743101,0.166660135
Rpgr,0.28241182,3.675640416,0.053747015,0.550411493
Cwf19l2,0.282482982,3.296134693,0.062924353,0.589899458
Tbp,0.282495165,4.696323207,0.016845846,0.305513882
Rpl12,0.282521215,7.61756486,0.007830812,0.200564119
Chek1,0.282540591,0.289747523,0.385447953,1
Gm9575,0.282739715,-1.804783637,0.764869707,1
Ndufs6,0.282959261,4.849720424,0.030431441,0.41541816
Alg13,0.283104508,2.57752774,0.115208957,0.729189442
Gm26658,0.283259449,-1.489867607,0.717342441,1
4930470P17Rik,0.283263536,-2.20818852,0.866088379,1
Ulk3,0.283284563,3.89866882,0.036286221,0.455166334
Zfp626,0.283316534,3.283349289,0.079351322,0.639036388
Pln,0.283386943,-1.010656082,0.697351495,1
4930570G19Rik,0.283472583,3.123152459,0.078366281,0.636128449
Zkscan17,0.283476696,3.620847035,0.053392475,0.548224512
Zdhhc4,0.283538334,4.693242781,0.023132352,0.364388093
Rasl2-9,0.283549374,-1.805007754,0.766206162,1
4833420G17Rik,0.283628997,4.402757538,0.026397428,0.389240513
Ppwd1,0.283724664,2.614823172,0.108309592,0.715900835
Brpf1,0.283822415,5.443736531,0.005775522,0.167066653
Ccdc116,0.283968643,1.013017142,0.313750001,0.993798242
Cstl1,0.283991456,-1.804905752,0.790324437,1
Sbsn,0.284188566,1.802530341,0.21070883,0.900250252
Gm5559,0.28420171,-1.489812699,0.718467034,1
Ren1,0.284217837,-2.208442847,0.862990089,1
Acyp1,0.284293853,3.322909283,0.06953448,0.611149026
Ulbp1,0.284298555,-1.231163591,0.65802101,1
Gm12902,0.284452563,-1.804712475,0.800303639,1
Piwil1,0.284516659,-1.804683851,0.770434674,1
Scfd1,0.284577103,4.59424337,0.016582256,0.303722176
Prdx4,0.284641334,3.42521084,0.074970597,0.62771444
Trit1,0.284749201,3.536186681,0.059313753,0.574971633
Ndufa4,0.284902512,7.117157096,0.005072783,0.154626153
