,x,y,PAM50,Cohort,Class,color
BRCA-A252-01A,-2.33903551752799,-13.4394946640003,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1AH-01A,17.3399380160926,5.4394496663407,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A24Z-01A,2.11901830075898,11.3651818700077,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1ET-01A,-19.0304681645498,-1.24688535910202,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A24O-01A,-12.4201225588044,-14.9153914889526,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A24V-01A,-7.30656227685448,-6.15333667870293,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2DO-01A,7.93161371998152,-2.9260425419885,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0U4-01A,21.5294518459357,-10.0977754944637,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A2DK-01A,-4.43628957720503,-4.88975079461722,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5DE-01A,-2.23201285756496,-7.38178173698434,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1F5-01A,-13.0974585112417,9.09652354989013,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1F6-01A,21.029847178725,-5.56482836783897,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A24S-01A,3.43668507973464,-12.2484065566118,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A24Q-01A,11.8603756251327,-9.97312187609823,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A1LH-01A,20.4299274786465,-10.0261807260964,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A42U-01A,-6.26839845104003,-15.0632249693229,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A2C9-01A,12.4717099650826,-4.29546140676549,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0TP-01A,14.3434197973397,6.07277333865528,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A28Q-01A,-15.0220825868884,-0.694727640713975,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2FO-01A,-12.7938034878223,-12.4624239492385,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0BW-01A,18.3594351880271,-7.56016969447147,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0H5-01A,-3.12829360362031,-15.915678573063,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0H3-01A,-14.7791715228476,-11.3796951033055,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0AV-01A,11.7809614747037,-10.7300739553697,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0HA-01A,-8.13434324086607,-6.85651516595798,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0BS-01A,-9.67132196664184,11.9122237776306,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2P6-01A,-6.12744073130601,8.4589811610927,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A6R8-01A,-1.22433678442798,13.4146762862126,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A159-01A,17.8568638221974,-7.63402926310681,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A2FG-01A,-17.1766678699515,-4.23983502193937,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2FK-01A,-13.9403146705019,-13.1759845803499,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A2LM-01A,-17.440531898283,-10.2926175818652,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5DA-01A,-8.41471037278583,5.09303385931205,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A4E0-01A,-9.97771972639529,-20.9132238926634,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CP-01A,-12.6806729727803,-7.48540790312211,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2BM-01A,-0.863118171101455,9.63021516398073,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0W3-01A,-7.94981020765557,16.1291081754701,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A572-01A,-3.36585885294962,19.4594057713199,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1JN-01A,-7.81227174793313,10.6003919670222,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1X9-01A,-0.528565141031958,0.0915843023678592,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2B8-01A,-13.6528111339251,-11.3161606352431,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A51U-01A,-13.1798914749882,-5.45245208498167,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2C8-01A,-12.9419320595189,-9.47620654440551,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A07S-01A,-4.15197518251378,11.7095644148419,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A07W-01A,7.2440989043852,6.63706278787767,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A09B-01A,-11.9416463433733,5.77914384792983,LumA,TCGA,LumA_TCGA,#FB9A99
