TCGA-GJ-A3OU-01A-31R-A38B-07	TCGA-G3-A7M9-01A-23R-A352-07	TCGA-ED-A627-01A-12R-A311-07	TCGA-DD-AACB-01A-11R-A41C-07
ENSG00000007216	0.18424854947	1.00946074641	0.160184599958	0.0745040396939
ENSG00000007237	4.41643109719	3.01700260393	1.58804914017	0.496338114281
ENSG00000007255	37.4423105342	15.5340888897	22.7297443841	65.0280977854
ENSG00000007264	3.84287115901	0.583325482335	1.40628766002	0.729665119557
ENSG00000007306	0.0101991458285	0.32422140982	0.0150058227913	0
ENSG00000007312	3.37719216245	0.705395895415	3.22972199666	5.06782004396
ENSG00000007314	0.386573226792	0.752862890977	0.0674798040548	0.0416341928757
ENSG00000007341	0.679518876725	1.73613199924	0.781678303489	0.804313473589
ENSG00000007350	0.0740206501359	0.362761564391	0.0381168454822	0.112884555171
ENSG00000007372	0.107836199478	0.324402361425	0.0873960762187	0.0743297932396
ENSG00000007376	7.22028804684	13.6216608042	4.65836503227	7.53922609956
ENSG00000007384	2.68855835155	3.18606998832	4.41266923184	1.57214829966
ENSG00000007392	3.53030320608	8.853774843	3.060448006	4.76452575566
ENSG00000007402	0.128207231729	1.25097948783	0.141471773635	0.206383631265
ENSG00000007516	0.716540608499	1.13250324799	1.59428565857	1.02794862855
ENSG00000007520	40.7762670749	37.0958819415	25.4876012757	54.9426748365
ENSG00000007541	6.87139869885	7.11915627104	6.09942458892	5.83842184217
ENSG00000007545	0.871221195616	1.75019009382	0.761966218103	0.943176321374
ENSG00000007866	5.59687000527	17.8459750451	8.01925013161	5.99691478529
ENSG00000007908	1.04298889902	0.33951762437	2.6399136931	0.292059549775
ENSG00000007923	3.05096722604	9.50090959628	4.81337523617	3.65446073299
ENSG00000007933	24.9500676535	7.48683573776	127.917623868	90.5935498891
ENSG00000007944	4.86369118549	4.93782232066	3.79417999151	3.61130706159
ENSG00000007952	0.245711094461	0.856089069034	0.180755192805	0.556648664867
ENSG00000007968	0.46539279937	1.65912448993	0.156612447929	0.591452734703
ENSG00000008018	55.651815528	98.562024131	52.8948468848	86.5241851708
ENSG00000008056	0.799833606563	1.97385822539	0.594584100831	0.192596740281
ENSG00000008083	2.92858425924	7.2375051886	2.10812725506	4.29838675063
ENSG00000008086	0.378266249112	0.729811677326	0.654375036944	0.504872480429
ENSG00000008118	0.787506692589	0.120356294088	0.0816993031235	0
ENSG00000008128	0.718398673144	2.43216490657	0.892080364303	0.876470168848
ENSG00000008130	13.8822606376	9.44440377379	13.1561773254	14.4000429565
ENSG00000008196	0	0.0523781823028	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	0.08100724784	0.0815462729753	0.140637745855	0.0494157623382
ENSG00000008256	4.80528857274	3.45967703997	3.92165862277	0.804004436224
ENSG00000008277	0.115166156208	1.01206235327	0.0537652271068	0.0197024372532
ENSG00000008282	27.9555119303	20.595486213	27.7143260811	12.2768014122
ENSG00000008283	11.0406252048	8.41171345961	4.75959031087	2.09112272785
ENSG00000008294	4.97305167046	3.59714039755	4.78314270456	3.61640105069
ENSG00000008300	0.155799249187	3.72614341514	0.0759306747797	0.769725983342
ENSG00000008311	0.347208603937	0.853530869728	2.78798447243	0.792765454073
ENSG00000008323	2.68906944015	9.53451637408	2.01551448546	0.427181478832
ENSG00000008324	11.7124450707	20.3823060251	7.9286972921	19.7410589629
ENSG00000008382	19.5016777287	11.5182167803	13.415040797	25.0354143405
ENSG00000008394	115.180409687	17.3999504179	62.1314095933	87.4776278332
ENSG00000008405	4.14710124097	6.15048718979	3.69077430856	1.24129524935
ENSG00000008438	0.0375243573606	0.372770188634	0.0552089230198	0
ENSG00000008441	7.05234034558	4.39516282073	9.99437444271	15.1955442579
ENSG00000008513	15.2250276065	8.35305864324	13.2175057082	62.9599628992
ENSG00000008516	2.65853614727	0.225505184399	0.428718830236	0.965328014614
ENSG00000008517	262.446454566	21.935475307	103.370923363	55.5534597523
ENSG00000008710	1.81360977772	2.5808280964	1.49718305379	0.920831657442
ENSG00000008735	1.57041438634	3.67804973107	0.458062848848	8.46610251619
ENSG00000008838	9.10803792619	12.2876019893	7.28833912225	12.8721956674
ENSG00000008853	2.08174641503	9.54744898938	1.11760312253	0.626183322759
ENSG00000008869	2.24871776452	3.33612511008	2.32273075596	1.31384544522
ENSG00000008952	15.3899089865	16.2860323785	17.716716099	11.5376330796
ENSG00000008988	529.658929099	397.906969056	134.247061808	747.242233466
