"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene"
"EIF4E1B",0.978,2.77472549433801,0.956,2.77472549433801,0.959,0.017,"OO","EIF4E1B"
"AKTIP",0.978,2.4804271111351,0.956,2.4804271111351,1,0.193,"OO","AKTIP"
"ENSMFAG00000031694",0.977,4.54807921048019,0.954,4.54807921048019,0.957,0.005,"OO","ENSMFAG00000031694"
"LMO1",0.977,4.37254610859543,0.954,4.37254610859543,0.957,0.006,"OO","LMO1"
"KCNK9",0.977,3.94206996197941,0.954,3.94206996197941,0.957,0.008,"OO","KCNK9"
"DTL",0.977,3.41548847595999,0.954,3.41548847595999,0.964,0.024,"OO","DTL"
"HERC5",0.977,3.07218906769066,0.954,3.07218906769066,0.976,0.068,"OO","HERC5"
"C15orf48",0.977,2.92018141086782,0.954,2.92018141086782,0.995,0.251,"OO","C15orf48"
"OIP5",0.977,2.76704761429445,0.954,2.76704761429445,0.962,0.019,"OO","OIP5"
"TNFAIP8",0.977,2.62672671314501,0.954,2.62672671314501,0.993,0.077,"OO","TNFAIP8"
"PSD3",0.977,2.58978046822601,0.954,2.58978046822601,0.978,0.039,"OO","PSD3"
"SYCE3",0.977,2.53480143824911,0.954,2.53480143824911,0.962,0.013,"OO","SYCE3"
"ATP8A2",0.976,3.9931248678924,0.952,3.9931248678924,0.955,0.007,"OO","ATP8A2"
"ITGBL1",0.976,3.45848489424724,0.952,3.45848489424724,0.959,0.01,"OO","ITGBL1"
"SYCP3",0.976,3.3461685693516,0.952,3.3461685693516,0.959,0.012,"OO","SYCP3"
"RAD51",0.976,3.12873659496251,0.952,3.12873659496251,0.969,0.029,"OO","RAD51"
"MBP",0.976,3.10984665743406,0.952,3.10984665743406,0.959,0.023,"OO","MBP"
"KPNA2",0.976,2.77710066924015,0.952,2.77710066924015,0.995,0.294,"OO","KPNA2"
"PTPRE",0.976,2.77155529089012,0.952,2.77155529089012,0.974,0.053,"OO","PTPRE"
"SRPK1",0.976,2.74575265746298,0.952,2.74575265746298,0.993,0.158,"OO","SRPK1"
"LYAR",0.976,2.71735333303064,0.952,2.71735333303064,0.995,0.152,"OO","LYAR"
"HPF1",0.976,2.68470709260782,0.952,2.68470709260782,0.995,0.259,"OO","HPF1"
"KCNIP4",0.976,2.64696436506828,0.952,2.64696436506828,0.962,0.024,"OO","KCNIP4"
"SDHAF3",0.976,2.4663458194294,0.952,2.4663458194294,0.99,0.127,"OO","SDHAF3"
"PCNA",0.976,2.43306392397676,0.952,2.43306392397676,1,0.357,"OO","PCNA"
"DNMT3A",0.976,2.12160722933624,0.952,2.12160722933624,0.993,0.107,"OO","DNMT3A"
"INSL6",0.975,3.98159385544737,0.95,3.98159385544737,0.952,0.006,"OO","INSL6"
"MAL2",0.975,3.09210829896602,0.95,3.09210829896602,0.959,0.023,"OO","MAL2"
"COA1",0.975,2.9965139290567,0.95,2.9965139290567,0.988,0.153,"OO","COA1"
"NUP88",0.975,2.75040849220443,0.95,2.75040849220443,0.988,0.139,"OO","NUP88"
"TAF1A",0.975,2.7317607239032,0.95,2.7317607239032,0.99,0.112,"OO","TAF1A"
"ARHGAP18",0.975,2.70297156524471,0.95,2.70297156524471,0.995,0.146,"OO","ARHGAP18"
"SPATA22",0.975,2.21863698081759,0.95,2.21863698081759,0.969,0.04,"OO","SPATA22"
"ENSMFAG00000035981",0.974,3.63765531990073,0.948,3.63765531990073,0.955,0.017,"OO","ENSMFAG00000035981"
